     LON     LAT   DEPTH     MAG    PHUSD   NO_ST   MIND     GAP     RMS     SEH     SEZ  YYYY MM DD HH MN SEC
  47.521  32.812    10.4     0.0      99      99    99.0     360   0.107     0.4     0.4  2014 08 24 20 47 24.14
  47.538  32.727    11.0     0.0      99      99    99.0     360   0.210     0.6     0.6  2014 08 24 21 16 17.96
  47.768  32.629    11.1     0.0      99      99    99.0     360   0.154     0.5     0.5  2014 08 24 21 24 35.96
  47.740  32.673    12.0     0.0      99      99    99.0     360   0.115     0.7     0.6  2014 08 24 21 27 12.09
  47.461  32.749    11.2     0.0      99      99    99.0     360   0.090     0.5     0.3  2014 08 24 21 49 17.92
  47.492  32.752     7.9     0.0      99      99    99.0     360   0.100     0.4     0.7  2014 08 24 22 32 46.00
  47.576  32.795     6.4     0.0      99      99    99.0     360   0.082     0.4     0.4  2014 08 25 01 03 21.92
  47.615  32.706     9.4     0.0      99      99    99.0     360   0.092     0.4     0.3  2014 08 25 01 27 03.96
  47.643  32.738     8.6     0.0      99      99    99.0     360   0.100     0.3     0.2  2014 08 25 01 29 07.96
  47.792  32.788    11.4     0.0      99      99    99.0     360   0.121     0.5     0.8  2014 08 25 01 35 11.93
  47.636  32.743     8.8     0.0      99      99    99.0     360   0.066     0.3     0.2  2014 08 25 01 45 48.97
  47.771  32.696     9.2     0.0      99      99    99.0     360   0.162     0.7     0.4  2014 08 25 01 54 39.97
  47.824  32.682    12.3     0.0      99      99    99.0     360   0.096     0.5     0.4  2014 08 25 02 19 30.89
  47.784  32.714     6.5     0.0      99      99    99.0     360   0.186     0.6     0.6  2014 08 25 02 40 56.03
  47.496  32.725    11.7     0.0      99      99    99.0     360   0.158     0.4     0.3  2014 08 25 02 57 53.99
  47.792  32.720     7.0     0.0      99      99    99.0     360   0.196     0.6     0.4  2014 08 25 03 26 34.92
  47.801  32.700     8.8     0.0      99      99    99.0     360   0.066     0.9     0.7  2014 08 25 03 32 59.82
  47.762  32.708    12.0     0.0      99      99    99.0     360   0.128     0.4     0.3  2014 08 25 04 01 03.96
  47.793  32.647     9.7     0.0      99      99    99.0     360   0.150     1.0     0.5  2014 08 25 04 03 27.07
  47.764  32.705    11.1     0.0      99      99    99.0     360   0.086     0.3     0.3  2014 08 25 04 09 13.93
  47.655  32.751     9.1     0.0      99      99    99.0     360   0.047     0.4     0.2  2014 08 25 04 14 42.03
  47.601  32.693    11.2     0.0      99      99    99.0     360   0.115     0.3     0.4  2014 08 25 04 35 43.96
  47.449  32.714    14.0     0.0      99      99    99.0     360   0.075     0.4     0.3  2014 08 25 05 27 40.93
  47.465  32.708    14.0     0.0      99      99    99.0     360   0.080     0.4     0.2  2014 08 25 05 32 16.92
  47.747  32.646    12.2     0.0      99      99    99.0     360   0.081     0.5     0.4  2014 08 25 05 39 42.92
  47.537  32.799     6.5     0.0      99      99    99.0     360   0.067     0.5     0.6  2014 08 25 08 11 17.94
  47.490  32.736    10.0     0.0      99      99    99.0     360   0.125     0.3     0.3  2014 08 25 09 11 28.01
  47.700  32.712     9.6     0.0      99      99    99.0     360   0.071     0.4     0.3  2014 08 25 10 17 44.06
  47.641  32.680    11.4     0.0      99      99    99.0     360   0.123     0.4     0.4  2014 08 25 11 31 10.00
  47.597  32.802     9.1     0.0      99      99    99.0     360   0.115     0.4     0.3  2014 08 25 12 16 32.89
  47.722  32.662    11.2     0.0      99      99    99.0     360   0.066     0.4     0.3  2014 08 25 12 24 10.99
  47.618  32.674     9.0     0.0      99      99    99.0     360   0.165     0.4     0.6  2014 08 25 14 04 28.23
  47.581  32.705    15.1     0.0      99      99    99.0     360   0.110     0.7     1.0  2014 08 25 15 35 47.56
  47.515  32.770     9.9     0.0      99      99    99.0     360   0.130     0.4     0.3  2014 08 25 16 54 17.05
  47.784  32.703    10.2     0.0      99      99    99.0     360   0.124     0.5     0.5  2014 08 25 17 14 20.03
  47.744  32.686    11.0     0.0      99      99    99.0     360   0.127     0.5     0.3  2014 08 25 17 36 48.96
  47.807  32.719    12.0     0.0      99      99    99.0     360   0.147     0.6     0.5  2014 08 25 17 43 00.92
  47.760  32.621    10.7     0.0      99      99    99.0     360   0.105     0.7     0.5  2014 08 25 20 12 38.24
  47.502  32.781     4.9     0.0      99      99    99.0     360   0.122     0.3     0.7  2014 08 25 20 19 28.28
  47.542  32.754    10.3     0.0      99      99    99.0     360   0.141     0.3     0.5  2014 08 25 20 45 07.00
  47.545  32.754    10.3     0.0      99      99    99.0     360   0.073     0.3     0.4  2014 08 25 20 54 23.00
  47.766  32.632    12.0     0.0      99      99    99.0     360   0.123     0.5     0.4  2014 08 25 21 04 39.03
  47.527  32.816     9.1     0.0      99      99    99.0     360   0.110     0.4     0.3  2014 08 25 22 30 40.96
  47.536  32.756     8.2     0.0      99      99    99.0     360   0.076     0.3     0.5  2014 08 25 22 37 40.02
  47.585  32.766     6.8     0.0      99      99    99.0     360   0.119     0.3     0.4  2014 08 25 23 42 43.03
  47.576  32.743     9.5     0.0      99      99    99.0     360   0.090     0.3     0.2  2014 08 26 00 20 47.00
  47.593  32.686    10.3     0.0      99      99    99.0     360   0.131     0.3     0.3  2014 08 26 00 44 14.00
